cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,hygiene_risk
4.9,6.7,436,8,407,4.3,0
4.5,8.1,272,6,453,15.1,0
7.0,4.0,42,2,351,36.0,2
8.2,5.5,139,2,688,3.0,1
10.0,1.0,0,1,481,13.3,1
8.9,1.6,378,1,451,22.6,1
9.1,2.2,24,0,419,6.9,1
8.6,5.4,139,3,358,1.3,1
4.9,4.7,377,7,306,1.1,2
7.0,5.3,154,3,542,0.7,1
7.3,3.4,214,3,277,8.7,1
4.8,5.0,352,9,658,4.9,0
7.2,2.3,271,3,659,5.4,1
5.1,4.5,357,7,598,5.3,2
8.2,4.1,168,5,291,10.6,1
4.1,9.3,454,7,289,30.2,0
9.2,2.4,76,1,95,15.2,1
7.4,1.9,93,3,20,12.2,1
6.9,3.8,162,3,307,2.1,1
6.5,3.8,208,5,481,10.1,2
7.1,4.0,306,4,275,0.8,1
6.2,3.1,192,2,368,5.0,1
5.0,6.2,371,5,265,7.8,2
4.4,5.3,294,4,505,9.7,2
6.8,3.3,364,3,365,2.6,2
5.4,4.6,58,4,531,1.7,2
5.6,6.0,460,7,20,2.7,2
8.2,2.8,128,0,759,14.7,1
6.3,4.2,234,5,420,3.3,2
9.4,1.0,156,4,216,0.5,1
5.3,3.7,203,3,188,1.4,2
7.3,4.6,84,2,523,0.8,1
5.0,4.7,406,8,441,3.1,0
6.1,6.9,150,2,587,10.5,2
5.8,7.6,190,7,98,21.6,0
5.9,3.6,392,3,514,11.1,2
7.2,5.5,263,2,287,2.6,1
6.1,3.8,170,8,772,7.1,0
7.9,3.6,32,1,722,3.9,1
8.1,3.2,116,2,73,36.0,2
7.2,3.8,141,1,515,2.1,1
6.9,4.4,122,3,651,0.5,1
5.6,6.6,327,3,422,9.4,2
5.7,7.5,279,5,109,5.5,2
8.1,4.6,244,4,498,16.5,2
8.9,3.0,18,0,591,15.4,1
5.0,8.4,333,8,671,1.0,0
3.3,8.1,528,10,357,6.9,0
6.9,4.8,317,9,346,11.7,0
10.0,1.8,76,2,331,5.0,1
7.6,1.9,117,4,478,9.5,2
4.3,5.0,382,4,321,0.7,2
4.5,6.3,428,6,263,0.7,2
4.2,5.2,364,8,725,0.7,0
5.7,5.8,432,11,805,1.5,0
6.5,6.5,352,4,275,7.0,2
6.7,4.4,265,4,359,29.3,2
7.7,5.3,329,5,877,0.5,2
6.1,5.5,323,11,403,17.2,0
6.4,2.9,86,5,446,0.9,1
7.2,5.6,237,7,707,6.6,0
5.8,4.7,198,4,330,5.2,2
5.4,8.8,252,7,818,24.4,0
10.0,2.1,28,2,595,36.0,1
5.3,5.6,200,5,340,1.1,2
2.7,6.2,455,8,732,2.3,0
4.3,7.5,545,7,531,19.2,0
5.5,4.3,461,5,220,5.8,2
3.7,9.2,333,10,850,3.5,0
8.2,1.0,193,5,418,1.6,1
6.6,5.9,336,3,397,5.1,2
3.4,7.7,463,11,413,7.6,0
7.4,1.8,140,1,312,0.5,1
6.3,6.4,290,3,695,1.6,2
1.1,10.0,542,7,176,2.9,0
5.5,4.2,207,8,713,1.9,0
8.4,1.7,183,1,667,1.9,1
7.0,5.1,365,7,548,4.2,2
6.9,4.8,281,5,616,11.9,2
5.6,5.6,267,6,467,18.6,0
9.2,3.0,36,1,373,8.5,1
4.3,7.7,227,5,663,7.3,0
6.4,5.5,318,5,691,6.6,2
5.8,4.9,328,4,290,7.6,2
8.4,2.9,145,1,202,7.9,1
8.9,1.0,142,4,581,3.5,1
6.5,2.0,247,4,301,1.7,1
7.2,5.2,164,2,199,14.3,2
5.7,6.0,418,6,579,0.5,2
5.4,4.9,308,5,20,10.1,2
7.6,3.7,190,4,393,6.6,1
6.9,5.1,245,4,598,14.1,2
7.7,5.2,194,3,454,20.6,2
5.1,6.8,421,4,666,7.3,0
7.6,3.6,113,4,220,28.3,2
3.2,6.5,469,7,549,7.4,0
7.4,4.9,254,5,670,10.4,2
4.8,6.5,260,6,671,5.1,0
8.3,3.8,67,4,475,3.6,1
5.4,5.4,440,4,550,6.6,2
7.0,2.9,265,4,422,4.4,1
7.7,2.7,51,2,426,2.4,1
7.3,4.0,270,6,298,8.6,2
5.6,5.0,429,5,154,2.3,2
4.9,7.1,203,1,54,22.7,2
6.2,3.9,293,5,721,4.7,2
4.8,3.4,482,6,30,0.5,2
5.3,7.7,180,3,430,1.9,2
7.8,5.5,193,10,739,3.0,0
7.1,3.8,121,3,593,24.5,2
5.2,5.5,343,5,288,0.5,2
6.7,6.2,279,5,462,1.4,2
4.9,4.7,346,5,853,1.0,2
7.6,1.7,258,3,671,1.7,1
4.3,4.4,474,7,433,6.3,0
3.6,6.4,410,7,871,9.0,0
4.8,7.0,498,7,188,9.0,0
7.7,3.0,233,5,302,2.6,1
4.9,7.7,365,9,521,10.9,0
7.1,4.7,239,2,444,8.4,2
6.8,5.2,256,6,644,4.7,2
5.0,5.7,422,6,392,13.8,0
6.7,5.8,370,4,414,2.4,2
6.5,4.8,223,5,293,13.6,2
3.9,6.9,470,4,482,19.8,0
8.1,3.6,243,3,416,8.3,1
10.0,1.0,52,0,298,1.7,1
6.5,5.1,248,4,464,0.5,2
7.7,5.9,235,2,458,34.9,2
2.1,6.7,496,9,117,8.9,0
8.7,1.4,231,3,197,2.0,1
3.4,5.8,413,8,765,7.3,0
7.1,2.6,329,0,328,4.4,1
5.0,8.1,515,7,525,12.6,0
5.0,6.1,400,9,824,8.9,0
5.2,5.7,324,10,371,23.0,0
8.3,3.5,253,5,504,4.2,1
6.1,3.9,325,4,579,4.5,2
5.3,5.1,383,5,71,10.7,2
5.7,5.5,393,6,326,6.0,2
8.1,1.6,249,4,591,1.3,1
8.4,1.0,56,2,589,3.8,1
4.5,6.2,416,10,217,1.6,0
4.7,8.0,315,5,271,3.7,0
7.1,2.6,97,2,325,4.6,1
2.7,6.4,509,9,400,7.8,0
5.4,6.2,289,3,337,5.7,2
6.1,2.7,475,5,226,6.4,2
3.1,7.0,517,10,435,0.5,0
4.7,4.6,438,7,617,1.7,0
10.0,1.2,57,0,439,17.4,1
7.2,3.5,178,3,362,1.0,1
6.6,4.1,204,4,430,6.6,2
6.2,4.8,44,2,39,20.2,2
6.7,3.8,149,5,443,3.8,2
6.5,4.4,339,5,267,19.4,2
6.6,2.5,299,3,108,0.5,1
6.0,5.3,331,3,247,7.0,2
7.9,6.0,71,1,244,0.8,1
6.8,4.9,97,5,393,5.3,2
8.8,2.9,198,1,344,1.8,1
6.9,4.1,318,3,345,2.5,2
3.6,6.4,367,7,352,6.4,0
9.0,1.0,66,0,113,25.4,1
6.9,4.6,254,3,765,0.9,2
8.8,1.7,135,3,430,14.1,1
6.2,3.9,151,5,859,2.8,2
5.9,4.4,262,6,786,13.2,2
6.8,6.2,233,3,552,9.1,2
8.1,4.6,292,5,20,10.0,2
4.9,8.0,357,6,706,3.1,0
4.6,7.4,359,6,762,14.5,0
7.0,3.0,105,3,20,1.8,1
6.0,3.3,147,1,20,22.5,2
8.0,3.8,139,3,746,6.7,1
7.8,3.4,29,4,453,7.9,2
8.5,1.1,221,2,539,1.0,1
4.2,6.0,395,4,789,1.5,0
6.7,5.1,312,3,607,3.9,2
7.8,1.1,128,3,414,5.8,1
3.9,8.4,311,7,249,0.5,0
3.0,7.0,547,6,564,3.4,0
5.9,8.1,375,10,356,1.1,0
10.0,1.0,0,1,267,8.1,1
6.5,6.2,218,5,356,7.3,2
6.2,6.7,345,9,637,8.5,0
6.0,4.5,6,5,504,8.0,2
5.0,8.1,156,4,821,2.4,2
5.8,4.4,226,7,365,1.9,2
7.7,3.2,358,5,315,5.6,2
4.6,5.4,492,7,416,0.5,0
4.6,8.2,503,6,375,14.2,0
6.5,4.9,304,4,423,9.7,2
4.1,5.6,520,7,1018,5.2,0
8.4,4.6,0,3,393,0.6,1
5.7,5.1,258,8,923,0.5,2
5.5,1.0,291,5,357,7.2,2
4.7,6.0,514,11,418,36.0,0
5.4,7.5,298,8,274,0.6,0
8.3,2.3,63,2,576,18.4,1
8.8,1.2,106,0,280,19.2,1
6.8,3.8,361,3,439,0.9,2
8.9,3.3,164,2,303,1.0,1
6.6,3.4,144,2,469,16.7,2
6.1,6.3,427,4,687,0.9,2
3.9,8.4,484,6,354,4.9,0
5.1,3.9,363,2,432,3.8,2
9.7,1.0,104,4,573,8.7,1
7.5,5.0,192,5,632,7.2,2
6.8,1.6,320,3,424,1.7,1
6.4,8.9,546,9,496,3.8,0
4.0,7.8,461,6,468,2.7,0
5.4,6.9,379,7,591,21.5,0
7.4,3.1,358,3,431,2.5,1
8.9,3.3,65,2,459,6.0,1
6.3,3.5,296,4,164,7.9,2
8.2,2.8,87,2,703,1.6,1
8.9,1.5,59,2,666,5.7,1
7.2,3.8,435,3,928,16.9,2
8.2,3.4,256,2,321,6.9,1
5.5,6.1,165,6,162,15.3,2
6.4,3.3,286,4,211,1.5,1
7.5,1.4,181,2,540,2.3,1
7.7,3.6,233,6,460,19.7,0
9.7,2.7,137,2,621,22.0,1
7.7,2.7,329,3,401,3.3,1
4.9,4.7,184,6,124,8.7,0
7.0,5.4,186,3,562,14.7,2
7.7,3.8,142,6,603,1.6,1
6.1,6.0,440,6,162,1.6,2
8.0,2.9,95,3,530,3.6,1
7.3,3.4,210,6,257,6.9,2
6.1,6.0,92,6,668,16.7,2
5.0,6.1,281,7,383,0.5,2
7.1,5.7,404,5,318,8.0,2
9.0,1.0,133,3,517,0.8,1
5.9,7.7,183,7,320,5.7,0
8.7,1.1,53,0,302,2.4,1
6.4,6.9,50,5,505,4.4,2
2.2,7.3,516,10,524,1.5,0
7.5,5.2,161,7,771,19.1,2
4.1,6.9,228,4,347,6.5,2
7.6,2.8,237,4,268,1.1,1
4.0,8.9,446,3,311,13.5,0
5.0,6.2,335,5,763,3.6,2
7.2,4.0,101,3,307,1.3,1
7.2,1.6,124,5,579,10.3,1
6.0,3.6,283,3,401,0.5,2
4.4,9.1,421,6,628,13.3,0
7.0,7.0,215,4,525,22.6,2
4.5,7.4,523,5,650,4.7,0
8.1,4.9,103,0,314,0.6,1
4.2,7.1,462,7,911,1.6,0
5.8,8.7,175,4,317,0.5,2
10.0,2.5,20,2,270,1.0,1
8.2,1.9,10,0,424,11.9,1
7.0,4.8,324,9,721,16.2,0
3.3,7.5,341,5,20,11.5,0
7.9,3.3,61,2,363,1.2,1
8.8,4.3,0,3,260,0.7,1
7.3,3.5,303,6,592,2.2,2
5.8,4.6,409,3,630,14.7,2
8.6,1.0,100,3,626,4.5,1
9.5,2.3,31,0,161,0.8,1
8.1,4.3,47,2,163,12.8,1
5.9,2.2,463,2,253,3.0,2
10.0,1.0,14,0,20,1.2,1
8.9,2.4,0,1,782,4.2,1
6.5,4.5,329,5,416,15.5,2
7.3,6.4,215,8,496,4.2,0
6.0,3.4,307,4,660,18.3,2
6.9,2.4,373,7,583,2.9,2
6.0,7.4,137,7,272,8.4,2
8.5,2.5,142,3,330,26.2,1
7.2,3.0,187,6,116,26.7,2
10.0,1.3,0,0,424,7.9,1
6.9,1.9,201,5,534,1.5,1
3.7,9.0,412,9,211,7.3,0
4.7,5.2,262,5,62,19.7,2
6.0,4.8,264,4,652,4.5,2
7.3,6.5,149,2,576,10.1,2
4.9,6.1,321,8,271,18.0,0
6.2,7.1,310,4,70,2.9,2
6.7,7.8,298,5,726,12.1,0
5.9,6.4,224,7,750,5.3,2
7.3,4.7,222,5,457,11.0,2
8.6,4.5,137,3,176,1.5,2
5.0,5.8,401,4,50,8.1,2
10.0,3.3,171,3,537,1.5,1
7.5,3.0,349,3,661,5.0,2
5.5,4.5,238,7,286,8.1,2
8.6,2.3,34,2,248,10.2,1
5.8,3.0,287,6,118,0.5,2
5.8,2.1,292,6,680,3.2,2
5.9,7.9,217,8,566,9.5,0
7.1,2.2,252,1,558,4.3,1
7.2,4.8,277,6,146,12.8,2
7.8,2.9,54,1,590,22.5,1
6.0,4.2,326,6,476,1.2,2
6.3,4.9,211,3,646,17.2,2
2.6,9.0,547,8,612,0.8,0
2.8,7.0,485,6,196,2.9,0
5.3,8.0,491,9,713,8.5,0
7.0,5.7,151,4,699,6.0,2
8.9,1.6,378,1,451,22.6,1
